gene_symbol	gene_entrez	gene_description
FAM19A1	407738	family with sequence similarity 19 (chemokine (C-C motif)-like), member A1
FAT2	2196	FAT tumor suppressor homolog 2 (Drosophila)
FBXL16	146330	F-box and leucine-rich repeat protein 16
FBXO2	26232	F-box protein 2
FMN2	56776	formin 2
FOXG1	2290	forkhead box G1
FSD1	79187	fibronectin type III and SPRY domain containing 1
FSHB	2488	follicle stimulating hormone, beta polypeptide
FXYD7	53822	FXYD domain containing ion transport regulator 7
GABBR2	9568	gamma-aminobutyric acid (GABA) B receptor, 2
GABRA1	2554	gamma-aminobutyric acid (GABA) A receptor, alpha 1
GABRA6	2559	gamma-aminobutyric acid (GABA) A receptor, alpha 6
GABRB1	2560	gamma-aminobutyric acid (GABA) A receptor, beta 1
GAP43	2596	growth associated protein 43
GBP3	2635	guanylate binding protein 3
GDAP1L1	78997	ganglioside induced differentiation associated protein 1-like 1
GFAP	2670	glial fibrillary acidic protein
GHRHR	2692	growth hormone releasing hormone receptor
GNAO1	2775	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O
GNG3	2785	guanine nucleotide binding protein (G protein), gamma 3
GNG7	2788	guanine nucleotide binding protein (G protein), gamma 7
GPM6A	2823	glycoprotein M6A
GPM6B	2824	glycoprotein M6B
GPR17	2840	G protein-coupled receptor 17
GPR88	54112	G protein-coupled receptor 88
GRIA1	2890	glutamate receptor, ionotropic, AMPA 1
GRIA2	2891	glutamate receptor, ionotropic, AMPA 2
GRIA3	2892	glutamate receptor, ionotropic, AMPA 3
GRIN1	2902	glutamate receptor, ionotropic, N-methyl D-aspartate 1
GRM3	2913	glutamate receptor, metabotropic 3
GRM7	2917	glutamate receptor, metabotropic 7
HAPLN2	60484	hyaluronan and proteoglycan link protein 2
HCRT	3060	hypocretin (orexin) neuropeptide precursor
HIVEP2	3097	human immunodeficiency virus type I enhancer binding protein 2
HMP19	51617	HMP19 protein
HPCA	3208	hippocalcin
HPCAL4	51440	hippocalcin like 4
HTR2C	3358	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled
IL17B	27190	interleukin 17B
JMY	133746	junction mediating and regulatory protein, p53 cofactor
KCNC1	3746	potassium voltage-gated channel, Shaw-related subfamily, member 1
KCTD4	386618	potassium channel tetramerisation domain containing 4
KIAA1107	23285	KIAA1107
KIF1B	23095	kinesin family member 1B
KIF21B	23046	kinesin family member 21B
KIF3A	11127	kinesin family member 3A
KIF5A	3798	kinesin family member 5A
KIF5C	3800	kinesin family member 5C
L1CAM	3897	L1 cell adhesion molecule
LGI1	9211	leucine-rich, glioma inactivated 1
LHB	3972	luteinizing hormone beta polypeptide
LRRTM3	347731	leucine rich repeat transmembrane neuronal 3
LRRTM4	80059	leucine rich repeat transmembrane neuronal 4
MAB21L1	4081	mab-21-like 1 (C. elegans)
MAG	4099	myelin associated glycoprotein
MAP1A	4130	microtubule-associated protein 1A
MAP1B	4131	microtubule-associated protein 1B
MAP2	4133	microtubule-associated protein 2
MAP3K12	7786	mitogen-activated protein kinase kinase kinase 12
MAP6	4135	microtubule-associated protein 6
MAPT	4137	microtubule-associated protein tau
MBP	4155	myelin basic protein
MGAT3	4248	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase
MLC1	23209	megalencephalic leukoencephalopathy with subcortical cysts 1
MOBP	4336	myelin-associated oligodendrocyte basic protein
MOG	4340	myelin oligodendrocyte glycoprotein
MPZ	4359	myelin protein zero
MT3	4504	metallothionein 3
MYO16	23026	myosin XVI
MYT1L	23040	myelin transcription factor 1-like
NAP1L3	4675	nucleosome assembly protein 1-like 3
NAP1L5	266812	nucleosome assembly protein 1-like 5
NAV3	89795	neuron navigator 3
NBEA	26960	neurobeachin
NCAM1	4684	neural cell adhesion molecule 1
NCAM2	4685	neural cell adhesion molecule 2
NCAN	1463	neurocan
NEUROD1	4760	neuronal differentiation 1
NKX6-2	84504	NK6 homeobox 2
NPTX1	4884	neuronal pentraxin I
NPY1R	4886	neuropeptide Y receptor Y1
NRGN	4900	neurogranin (protein kinase C substrate, RC3)
NRSN1	140767	neurensin 1
NRXN3	9369	neurexin 3
NSF	4905	N-ethylmaleimide-sensitive factor
NTSR2	23620	neurotensin receptor 2
OLFM1	10439	olfactomedin 1
OLFM3	118427	olfactomedin 3
OPALIN	93377	oligodendrocytic myelin paranodal and inner loop protein
OXT	5020	oxytocin/neurophysin I prepropeptide
PAQR6	79957	progestin and adipoQ receptor family member VI
PCDH7	5099	protocadherin 7
PCDHGA5	56110	protocadherin gamma subfamily A, 5
PCLO	27445	piccolo presynaptic cytomatrix protein
PCP4	5121	Purkinje cell protein 4
PCSK1N	27344	proprotein convertase subtilisin/kexin type 1 inhibitor
PCSK2	5126	proprotein convertase subtilisin/kexin type 2
PDE4DIP	9659	phosphodiesterase 4D interacting protein
PDZD4	57595	PDZ domain containing 4
PEA15	8682	phosphoprotein enriched in astrocytes 15
PHYHIP	9796	phytanoyl-CoA 2-hydroxylase interacting protein
PLP1	5354	proteolipid protein 1
PMCH	5367	pro-melanin-concentrating hormone
PMP2	5375	peripheral myelin protein 2
POMC	5443	proopiomelanocortin
PPP1R1B	84152	protein phosphatase 1, regulatory (inhibitor) subunit 1B
PRKAR1B	5575	protein kinase, cAMP-dependent, regulatory, type I, beta
PRL	5617	prolactin
PSD2	84249	pleckstrin and Sec7 domain containing 2
PSD3	23362	pleckstrin and Sec7 domain containing 3
PTGDS	5730	prostaglandin D2 synthase 21kDa (brain)
PTPN5	84867	protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched)
PTPRD	5789	protein tyrosine phosphatase, receptor type, D
PTPRZ1	5803	protein tyrosine phosphatase, receptor-type, Z polypeptide 1
RALGPS1	9649	Ral GEF with PH domain and SH3 binding motif 1
RAPGEF4	11069	Rap guanine nucleotide exchange factor (GEF) 4
RASGRF1	5923	Ras protein-specific guanine nucleotide-releasing factor 1
RGS4	5999	regulator of G-protein signaling 4
RIT2	6014	Ras-like without CAAX 2
RPH3A	22895	rabphilin 3A homolog (mouse)
RTN1	6252	reticulon 1
S100B	6285	S100 calcium binding protein B
SATB2	23314	SATB homeobox 2
SCG3	29106	secretogranin III
SCN3A	6328	sodium channel, voltage-gated, type III, alpha subunit
SH2D5	400745	SH2 domain containing 5
SH3GL2	6456	SH3-domain GRB2-like 2
SHOX2	6474	short stature homeobox 2
SLC17A6	57084	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6
SLC17A7	57030	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7
SLC1A6	6511	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6
SLC4A10	57282	solute carrier family 4, sodium bicarbonate transporter, member 10
SNAP25	6616	synaptosomal-associated protein, 25kDa
SNAP47	116841	synaptosomal-associated protein, 47kDa
SOX11	6664	SRY (sex determining region Y)-box 11
SPTBN4	57731	spectrin, beta, non-erythrocytic 4
SST	6750	somatostatin
STMN2	11075	stathmin-like 2
STMN4	81551	stathmin-like 4
SV2B	9899	synaptic vesicle glycoprotein 2B
SYN1	6853	synapsin I
SYNE1	23345	spectrin repeat containing, nuclear envelope 1
SYNPR	132204	synaptoporin
SYT3	84258	synaptotagmin III
SYT4	6860	synaptotagmin IV
TAGLN3	29114	transgelin 3
TRIM2	23321	tripartite motif containing 2
TSHB	7252	thyroid stimulating hormone, beta
UCHL1	7345	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
UNC13C	440279	unc-13 homolog C (C. elegans)
WNT10B	7480	wingless-type MMTV integration site family, member 10B
ZIC1	7545	Zic family member 1
ZP2	7783	zona pellucida glycoprotein 2 (sperm receptor)
----------
A2BP1	54715	RNA binding protein, fox-1 homolog (C. elegans) 1
ARPP-21	10777	cAMP-regulated phosphoprotein, 21kDa
C1orf187	374946	dorsal inhibitory axon guidance protein
C21orf131	387486	long intergenic non-protein coding RNA 320
FAM123A	219287	APC membrane recruitment protein 2
KIAA0802	23255	SOGA family member 2
NRXN3	9369	neurexin 3
RFPL1S	10740	RFPL1 antisense RNA 1
TMEM10	93377	oligodendrocytic myelin paranodal and inner loop protein
TMEM16C	63982	anoctamin 3
----------
TCBA1	84993	ubiquitin-like 7 (bone marrow stromal cell-derived)
TCBA1	154215	Na+/K+ transporting ATPase interacting 2
TUBB4	10381	tubulin, beta 3 class III
TUBB4	10382	tubulin, beta 4A class IVa
----------
LOC157627		
RP13-102H20.1		
